"","Buggy","Free"
"185",0.88,0.12
"186",0.016,0.984
"187",0.906,0.094
"188",0.012,0.988
"189",0.772,0.228
"190",0.042,0.958
"191",0.044,0.956
"192",0.034,0.966
"193",0.108,0.892
"194",0.026,0.974
"195",0,1
"196",0.75,0.25
"197",0.076,0.924
"198",0.006,0.994
"199",0.612,0.388
"200",0.064,0.936
"201",0.818,0.182
"202",0.322,0.678
"203",0.068,0.932
"204",0.022,0.978
"205",0.026,0.974
"206",0.812,0.188
"207",0.192,0.808
"208",0.092,0.908
"209",0.636,0.364
"210",0.086,0.914
"211",0.026,0.974
"212",0.06,0.94
"213",0.124,0.876
"214",0.04,0.96
"215",0.016,0.984
"216",0.048,0.952
"217",0.046,0.954
"218",0.03,0.97
"219",0.044,0.956
"220",0.318,0.682
"221",0.048,0.952
"222",0.02,0.98
"223",0.276,0.724
"224",0.004,0.996
"225",0.034,0.966
"226",0.342,0.658
"227",0.016,0.984
"228",0.87,0.13
"229",0.34,0.66
"230",0.01,0.99
"231",0.776,0.224
"232",0.046,0.954
"233",0.546,0.454
"234",0.018,0.982
"235",0.336,0.664
"236",0.01,0.99
"237",0.042,0.958
"238",0,1
"239",0.156,0.844
"240",0.434,0.566
"241",0.63,0.37
"242",0.138,0.862
"243",0.07,0.93
"244",0.876,0.124
"245",0.15,0.85
"246",0.028,0.972
"247",0.024,0.976
"248",0.164,0.836
"249",0.122,0.878
"250",0.246,0.754
"251",0.026,0.974
"252",0.032,0.968
"253",0.054,0.946
"254",0.4,0.6
"255",0.094,0.906
"256",0.07,0.93
"257",0.088,0.912
"258",0.816,0.184
"259",0.43,0.57
"260",0.04,0.96
"261",0.288,0.712
"262",0,1
"263",0.09,0.91
"264",0.096,0.904
"265",0.072,0.928
"266",0.066,0.934
"267",0.082,0.918
"268",0.566,0.434
"269",0,1
"270",0.042,0.958
"271",0.05,0.95
"272",0.034,0.966
"273",0.398,0.602
"274",0.034,0.966
"275",0.066,0.934
"276",0.796,0.204
"277",0.012,0.988
"278",0,1
"279",0.028,0.972
"280",0.044,0.956
"281",0.52,0.48
"282",0.222,0.778
"283",0.612,0.388
"284",0.052,0.948
"285",0.196,0.804
"286",0.082,0.918
"287",0.038,0.962
"288",0.276,0.724
"289",0.03,0.97
"290",0.036,0.964
"291",0.132,0.868
"292",0.374,0.626
"293",0.646,0.354
"294",0.558,0.442
"295",0.532,0.468
"296",0.122,0.878
"297",0.06,0.94
"298",0.776,0.224
"299",0.074,0.926
"300",0.002,0.998
"301",0.01,0.99
"302",0.012,0.988
"303",0.434,0.566
"304",0.124,0.876
"305",0.318,0.682
"306",0.112,0.888
"307",0.044,0.956
"308",0.834,0.166
"309",0.042,0.958
"310",0.21,0.79
"311",0.004,0.996
"312",0.094,0.906
"313",0.084,0.916
"314",0.052,0.948
"315",0.214,0.786
"316",0.014,0.986
"317",0.036,0.964
"318",0.268,0.732
"319",0.024,0.976
"320",0.174,0.826
"321",0.248,0.752
"322",0.784,0.216
"323",0.014,0.986
"324",0.164,0.836
"325",0.006,0.994
"326",0.474,0.526
"327",0.11,0.89
"328",0.606,0.394
"329",0.484,0.516
"330",0.262,0.738
"331",0.046,0.954
"332",0.168,0.832
"333",0.854,0.146
"334",0.836,0.164
"335",0.076,0.924
"336",0.252,0.748
"337",0.214,0.786
"338",0.01,0.99
"339",0.026,0.974
"340",0.114,0.886
"341",0.006,0.994
"342",0.146,0.854
"343",0.088,0.912
"344",0.01,0.99
"345",0.124,0.876
"346",0.006,0.994
"347",0,1
"348",0,1
"349",0.454,0.546
"350",0.112,0.888
"351",0.61,0.39
"352",0.018,0.982
"353",0.462,0.538
"354",0.012,0.988
"355",0.12,0.88
"356",0.024,0.976
"357",0.106,0.894
"358",0.096,0.904
"359",0.306,0.694
"360",0.362,0.638
"361",0.75,0.25
"362",0.004,0.996
"363",0.648,0.352
"364",0.562,0.438
"365",0.004,0.996
"366",0.016,0.984
"367",0.756,0.244
"368",0.054,0.946
"369",0.214,0.786
"370",0.072,0.928
"371",0.11,0.89
"372",0.078,0.922
"373",0.434,0.566
"374",0.622,0.378
"375",0.118,0.882
"376",0.222,0.778
"377",0.034,0.966
"378",0.742,0.258
"379",0.024,0.976
"380",0.178,0.822
"381",0.002,0.998
"382",0.18,0.82
"383",0.272,0.728
"384",0.126,0.874
"385",0.052,0.948
"386",0.048,0.952
"387",0.008,0.992
"388",0.048,0.952
"389",0.036,0.964
"390",0.668,0.332
"391",0.712,0.288
"392",0,1
"393",0.046,0.954
"394",0.002,0.998
"395",0.016,0.984
"396",0.006,0.994
"397",0.554,0.446
"398",0.456,0.544
"399",0.142,0.858
"400",0.04,0.96
"401",0.064,0.936
"402",0.006,0.994
"403",0.064,0.936
"404",0.054,0.946
"405",0.232,0.768
"406",0.006,0.994
"407",0.95,0.05
"408",0.608,0.392
"409",0.004,0.996
"410",0.016,0.984
"411",0,1
"412",0.032,0.968
"413",0.014,0.986
"414",0.056,0.944
"415",0.194,0.806
"416",0.216,0.784
"417",0.058,0.942
"418",0.002,0.998
"419",0.18,0.82
"420",0.002,0.998
"421",0.542,0.458
"422",0.414,0.586
"423",0.078,0.922
"424",0.002,0.998
"425",0.412,0.588
"426",0.558,0.442
"427",0.004,0.996
"428",0.33,0.67
"429",0.25,0.75
"430",0.02,0.98
"431",0.654,0.346
"432",0,1
"433",0.042,0.958
"434",0.258,0.742
"435",0.062,0.938
"436",0.06,0.94
"437",0.052,0.948
"438",0.006,0.994
"439",0.138,0.862
"440",0.006,0.994
"441",0.26,0.74
"442",0.764,0.236
"443",0.01,0.99
"444",0.482,0.518
"445",0.074,0.926
"446",0.17,0.83
"447",0.064,0.936
"448",0,1
"449",0.026,0.974
"450",0.028,0.972
"451",0.11,0.89
"452",0.13,0.87
"453",0,1
"454",0.322,0.678
"455",0.178,0.822
"456",0.028,0.972
"457",0.106,0.894
"458",0.036,0.964
"459",0.71,0.29
"460",0.158,0.842
"461",0.072,0.928
"462",0.466,0.534
"463",0.002,0.998
"464",0.054,0.946
"465",0.114,0.886
"466",0.592,0.408
"467",0.018,0.982
"468",0,1
"469",0.442,0.558
"470",0.118,0.882
"471",0.29,0.71
"472",0.136,0.864
"473",0.476,0.524
"474",0.198,0.802
"475",0.612,0.388
"476",0.41,0.59
"477",0.086,0.914
"478",0,1
"479",0.108,0.892
"480",0.462,0.538
"481",0,1
"482",0.652,0.348
"483",0.004,0.996
"484",0.104,0.896
"485",0.398,0.602
"486",0.246,0.754
"487",0.49,0.51
"488",0.074,0.926
"489",0.158,0.842
"490",0.048,0.952
"491",0.616,0.384
"492",0.012,0.988
"493",0.038,0.962
"494",0.152,0.848
"495",0.066,0.934
"496",0.002,0.998
"497",0.006,0.994
"498",0.748,0.252
"499",0.282,0.718
"500",0.078,0.922
"501",0.068,0.932
"502",0.148,0.852
"503",0,1
"504",0.572,0.428
"505",0.004,0.996
"506",0.57,0.43
"507",0.096,0.904
"508",0,1
"509",0.078,0.922
"510",0.058,0.942
"511",0,1
"512",0.132,0.868
"513",0.82,0.18
"514",0.474,0.526
"515",0.046,0.954
"516",0.142,0.858
"517",0.068,0.932
"518",0.562,0.438
"519",0.1,0.9
"520",0.092,0.908
"521",0.014,0.986
"522",0.026,0.974
"523",0.1,0.9
"524",0.398,0.602
"525",0.224,0.776
"526",0.062,0.938
"527",0.458,0.542
"528",0.084,0.916
"529",0.034,0.966
"530",0.424,0.576
"531",0.056,0.944
"532",0.724,0.276
"533",0.018,0.982
"534",0.006,0.994
"535",0.614,0.386
"536",0.16,0.84
"537",0.164,0.836
"538",0.85,0.15
"539",0.336,0.664
"540",0,1
"541",0.174,0.826
"542",0.054,0.946
"543",0.038,0.962
"544",0.392,0.608
"545",0.078,0.922
"546",0.066,0.934
"547",0.054,0.946
"548",0.654,0.346
"549",0.016,0.984
"550",0.282,0.718
"551",0.638,0.362
"552",0.038,0.962
"553",0.07,0.93
"554",0.04,0.96
"555",0.24,0.76
"556",0.006,0.994
"557",0.026,0.974
"558",0.036,0.964
"559",0.08,0.92
"560",0.016,0.984
"561",0.01,0.99
"562",0.09,0.91
"563",0.006,0.994
"564",0,1
"565",0.076,0.924
"566",0.026,0.974
"567",0.074,0.926
"568",0.042,0.958
"569",0.054,0.946
"570",0.066,0.934
"571",0.014,0.986
"572",0.61,0.39
"573",0.12,0.88
"574",0.032,0.968
"575",0.744,0.256
"576",0.214,0.786
"577",0.048,0.952
"578",0,1
"579",0.036,0.964
"580",0.32,0.68
"581",0.092,0.908
"582",0.006,0.994
"583",0.19,0.81
"584",0.034,0.966
"585",0.176,0.824
"586",0.378,0.622
"587",0.032,0.968
"588",0.014,0.986
"589",0.194,0.806
"590",0.002,0.998
"591",0,1
"592",0.038,0.962
"593",0.288,0.712
"594",0.46,0.54
"595",0.138,0.862
"596",0.042,0.958
"597",0.892,0.108
"598",0.142,0.858
"599",0.098,0.902
"600",0.428,0.572
"601",0.006,0.994
"602",0.004,0.996
"603",0.52,0.48
"604",0.028,0.972
"605",0,1
"606",0.488,0.512
"607",0.568,0.432
"608",0.064,0.936
"609",0.058,0.942
"610",0.252,0.748
"611",0,1
"612",0.002,0.998
"613",0,1
"614",0.228,0.772
"615",0.068,0.932
"616",0.074,0.926
"617",0.224,0.776
"618",0.184,0.816
"619",0.448,0.552
"620",0.08,0.92
"621",0.028,0.972
"622",0.508,0.492
"623",0.142,0.858
"624",0.578,0.422
"625",0.092,0.908
"626",0.034,0.966
"627",0.002,0.998
"628",0.014,0.986
"629",0.356,0.644
"630",0.052,0.948
"631",0.062,0.938
"632",0.034,0.966
"633",0.288,0.712
"634",0.27,0.73
"635",0.052,0.948
"636",0,1
"637",0.272,0.728
"638",0.156,0.844
"639",0.212,0.788
"640",0.002,0.998
"641",0.006,0.994
"642",0.026,0.974
"643",0.004,0.996
"644",0.406,0.594
"645",0.152,0.848
"646",0.002,0.998
"647",0.078,0.922
"648",0.392,0.608
"649",0.76,0.24
"650",0,1
"651",0,1
"652",0,1
"653",0.034,0.966
"654",0.254,0.746
"655",0.498,0.502
"656",0.228,0.772
"657",0.07,0.93
"658",0.592,0.408
"659",0.028,0.972
"660",0.064,0.936
"661",0.392,0.608
"662",0.15,0.85
"663",0.526,0.474
"664",0.036,0.964
"665",0.054,0.946
"666",0.01,0.99
"667",0.086,0.914
"668",0.252,0.748
"669",0.082,0.918
"670",0,1
"671",0.144,0.856
"672",0.14,0.86
"673",0.11,0.89
"674",0.778,0.222
"675",0.724,0.276
"676",0.078,0.922
"677",0.046,0.954
"678",0,1
"679",0.004,0.996
"680",0.41,0.59
"681",0.456,0.544
"682",0.038,0.962
"683",0.006,0.994
"684",0.416,0.584
"685",0.022,0.978
"686",0.416,0.584
"687",0.082,0.918
"688",0.002,0.998
"689",0.072,0.928
"690",0.744,0.256
"691",0.018,0.982
"692",0.006,0.994
"693",0.45,0.55
"694",0.006,0.994
"695",0.004,0.996
"696",0.208,0.792
"697",0.034,0.966
"698",0.478,0.522
"699",0.586,0.414
"700",0,1
"701",0.764,0.236
"702",0.116,0.884
"703",0.158,0.842
"704",0.608,0.392
"705",0.114,0.886
"706",0,1
"707",0.064,0.936
"708",0.044,0.956
"709",0.352,0.648
"710",0.406,0.594
"711",0.132,0.868
"712",0.01,0.99
"713",0.426,0.574
"714",0.004,0.996
"715",0.532,0.468
"716",0.028,0.972
"717",0.194,0.806
"718",0.598,0.402
"719",0.036,0.964
"720",0.006,0.994
"721",0.208,0.792
"722",0.008,0.992
"723",0.012,0.988
"724",0.242,0.758
"725",0.18,0.82
"726",0.042,0.958
"727",0,1
"728",0.134,0.866
"729",0.02,0.98
"730",0.45,0.55
"731",0.082,0.918
"732",0.076,0.924
"733",0,1
"734",0.17,0.83
"735",0.044,0.956
"736",0.302,0.698
"737",0.212,0.788
"738",0.566,0.434
"739",0.064,0.936
"740",0,1
"741",0.056,0.944
"742",0.116,0.884
"743",0.288,0.712
"744",0.086,0.914
"745",0.092,0.908
"746",0.048,0.952
"747",0.63,0.37
"748",0.086,0.914
"749",0.32,0.68
"750",0.138,0.862
"751",0.03,0.97
"752",0.03,0.97
"753",0.75,0.25
"754",0.002,0.998
"755",0.008,0.992
"756",0.046,0.954
"757",0.13,0.87
"758",0.008,0.992
"759",0.198,0.802
"760",0.704,0.296
"761",0.09,0.91
"762",0.356,0.644
"763",0.252,0.748
"764",0.478,0.522
"765",0.124,0.876
"766",0.074,0.926
"767",0.064,0.936
"768",0.076,0.924
"769",0.008,0.992
"770",0.472,0.528
"771",0.002,0.998
"772",0.346,0.654
"773",0.126,0.874
"774",0.456,0.544
"775",0.118,0.882
"776",0.218,0.782
"777",0,1
"778",0.62,0.38
"779",0.068,0.932
"780",0.09,0.91
"781",0.354,0.646
"782",0.762,0.238
"783",0.002,0.998
"784",0.318,0.682
"785",0.09,0.91
"786",0.006,0.994
"787",0.05,0.95
"788",0.044,0.956
"789",0.088,0.912
"790",0.218,0.782
"791",0.338,0.662
"792",0.038,0.962
"793",0.856,0.144
"794",0.022,0.978
"795",0.008,0.992
"796",0.156,0.844
"797",0.018,0.982
"798",0.148,0.852
"799",0.886,0.114
"800",0.456,0.544
"801",0.168,0.832
"802",0.104,0.896
"803",0.36,0.64
"804",0.018,0.982
"805",0.798,0.202
"806",0,1
"807",0.306,0.694
"808",0.09,0.91
"809",0.022,0.978
"810",0.308,0.692
"811",0.036,0.964
"812",0.708,0.292
"813",0.146,0.854
"814",0.004,0.996
"815",0.018,0.982
"816",0.496,0.504
"817",0.11,0.89
"818",0.692,0.308
"819",0.116,0.884
"820",0.04,0.96
"821",0.386,0.614
"822",0.028,0.972
"823",0.008,0.992
"824",0.33,0.67
"825",0.066,0.934
"826",0.018,0.982
"827",0.26,0.74
"828",0.004,0.996
"829",0.08,0.92
"830",0.08,0.92
"831",0.008,0.992
"832",0.184,0.816
"833",0.012,0.988
"834",0.01,0.99
"835",0.032,0.968
"836",0.236,0.764
"837",0.202,0.798
"838",0.002,0.998
"839",0.752,0.248
"840",0.002,0.998
"841",0.054,0.946
"842",0.148,0.852
"843",0.052,0.948
"844",0,1
"845",0.008,0.992
"846",0.04,0.96
"847",0.034,0.966
"848",0.628,0.372
"849",0.042,0.958
"850",0.442,0.558
"851",0.002,0.998
"852",0.558,0.442
"853",0.1,0.9
"854",0.096,0.904
"855",0.146,0.854
"856",0.042,0.958
"857",0.394,0.606
"858",0.154,0.846
"859",0.022,0.978
"860",0.08,0.92
"861",0,1
"862",0.01,0.99
"863",0.112,0.888
"864",0.054,0.946
"865",0.038,0.962
"866",0.032,0.968
"867",0.082,0.918
"868",0.044,0.956
"869",0.006,0.994
"870",0.336,0.664
"871",0.156,0.844
"872",0.728,0.272
"873",0.674,0.326
"874",0.492,0.508
"875",0.004,0.996
"876",0.168,0.832
"877",0.028,0.972
"878",0.176,0.824
"879",0.396,0.604
"880",0.572,0.428
"881",0.116,0.884
"882",0.124,0.876
"883",0.002,0.998
"884",0.01,0.99
"885",0.048,0.952
"886",0.76,0.24
"887",0.638,0.362
"888",0.41,0.59
"889",0.046,0.954
"890",0.142,0.858
"891",0.404,0.596
"892",0.786,0.214
"893",0.604,0.396
"894",0.692,0.308
"895",0.018,0.982
"896",0.366,0.634
"897",0,1
"898",0.064,0.936
"899",0.048,0.952
"900",0.714,0.286
"901",0.022,0.978
"902",0.006,0.994
"903",0.002,0.998
"904",0.006,0.994
"905",0.098,0.902
"906",0,1
"907",0.152,0.848
"908",0.734,0.266
"909",0.036,0.964
"910",0.094,0.906
"911",0.048,0.952
"912",0.002,0.998
"913",0.228,0.772
"914",0.024,0.976
"915",0.752,0.248
"916",0.034,0.966
"917",0.052,0.948
"918",0.002,0.998
"919",0,1
"920",0.078,0.922
"921",0.042,0.958
"922",0.116,0.884
"923",0.042,0.958
"924",0.09,0.91
"925",0.02,0.98
"926",0.1,0.9
"927",0.05,0.95
"928",0.078,0.922
"929",0.692,0.308
"930",0.304,0.696
"931",0.218,0.782
"932",0.11,0.89
"933",0.012,0.988
"934",0.006,0.994
"935",0.06,0.94
"936",0.224,0.776
"937",0.242,0.758
"938",0.026,0.974
"939",0.11,0.89
"940",0.004,0.996
"941",0,1
"942",0.06,0.94
"943",0.382,0.618
"944",0.094,0.906
"945",0.054,0.946
"946",0.094,0.906
"947",0.542,0.458
"948",0.076,0.924
"949",0.146,0.854
"950",0.518,0.482
"951",0.21,0.79
"952",0.018,0.982
"953",0.72,0.28
"954",0.714,0.286
"955",0.048,0.952
"956",0.672,0.328
"957",0.044,0.956
"958",0.356,0.644
"959",0.512,0.488
"960",0.002,0.998
"961",0.088,0.912
"962",0.098,0.902
"963",0.026,0.974
"964",0.088,0.912
"965",0.086,0.914
"966",0.454,0.546
"967",0.062,0.938
"968",0.73,0.27
"969",0.69,0.31
"970",0.016,0.984
"971",0.066,0.934
"972",0.036,0.964
"973",0.782,0.218
"974",0.006,0.994
"975",0.008,0.992
"976",0.156,0.844
"977",0.01,0.99
"978",0.042,0.958
"979",0.208,0.792
"980",0.228,0.772
"981",0.348,0.652
"982",0.002,0.998
"983",0.03,0.97
"984",0.238,0.762
"985",0.248,0.752
"986",0.014,0.986
"987",0.072,0.928
"988",0.404,0.596
"989",0.06,0.94
"990",0.004,0.996
"991",0.042,0.958
"992",0.078,0.922
"993",0.11,0.89
"994",0.778,0.222
"995",0.074,0.926
"996",0.068,0.932
"997",0.27,0.73
"998",0.056,0.944
"999",0.518,0.482
"1000",0.094,0.906
"1001",0.466,0.534
"1002",0.16,0.84
"1003",0.372,0.628
"1004",0.036,0.964
"1005",0,1
"1006",0.218,0.782
"1007",0.566,0.434
"1008",0.144,0.856
"1009",0.012,0.988
"1010",0.602,0.398
"1011",0.002,0.998
"1012",0.542,0.458
"1013",0.066,0.934
"1014",0.13,0.87
"1015",0.414,0.586
"1016",0.264,0.736
"1017",0.046,0.954
"1018",0.17,0.83
"1019",0.052,0.948
"1020",0.43,0.57
"1021",0.04,0.96
"1022",0.032,0.968
"1023",0.004,0.996
"1024",0.62,0.38
"1025",0.012,0.988
"1026",0.078,0.922
"1027",0,1
"1028",0.006,0.994
"1029",0.278,0.722
"1030",0.04,0.96
"1031",0.028,0.972
"1032",0.068,0.932
"1033",0.01,0.99
"1034",0.276,0.724
"1035",0.636,0.364
"1036",0.044,0.956
"1037",0.05,0.95
"1038",0.028,0.972
"1039",0.002,0.998
"1040",0.134,0.866
"1041",0.046,0.954
"1042",0.27,0.73
"1043",0.016,0.984
"1044",0.072,0.928
"1045",0.1,0.9
"1046",0.004,0.996
"1047",0.012,0.988
"1048",0.68,0.32
"1049",0.014,0.986
"1050",0.004,0.996
"1051",0.31,0.69
"1052",0.35,0.65
"1053",0.69,0.31
"1054",0.08,0.92
"1055",0.274,0.726
"1056",0.576,0.424
"1057",0.016,0.984
"1058",0.254,0.746
"1059",0.128,0.872
"1060",0.014,0.986
"1061",0.002,0.998
"1062",0.018,0.982
"1063",0.28,0.72
"1064",0.274,0.726
"1065",0.066,0.934
"1066",0.028,0.972
"1067",0.614,0.386
"1068",0.004,0.996
"1069",0.04,0.96
"1070",0.448,0.552
"1071",0.434,0.566
"1072",0.532,0.468
"1073",0.072,0.928
"1074",0.02,0.98
"1075",0.252,0.748
"1076",0.028,0.972
"1077",0.164,0.836
"1078",0.714,0.286
"1079",0.102,0.898
"1080",0.016,0.984
"1081",0.056,0.944
"1082",0.37,0.63
"1083",0.054,0.946
"1084",0.016,0.984
"1085",0.354,0.646
"1086",0.432,0.568
"1087",0.028,0.972
"1088",0.022,0.978
"1089",0,1
"1090",0,1
"1091",0.06,0.94
"1092",0.52,0.48
"1093",0.664,0.336
"1094",0.466,0.534
"1095",0.044,0.956
"1096",0.148,0.852
"1097",0.004,0.996
"1098",0.114,0.886
"1099",0.004,0.996
"1100",0.032,0.968
"1101",0.124,0.876
"1102",0.548,0.452
"1103",0.322,0.678
"1104",0.056,0.944
"1105",0.188,0.812
"1106",0.64,0.36
"1107",0.012,0.988
"1108",0.06,0.94
"1109",0.396,0.604
"1110",0.048,0.952
"1111",0.002,0.998
"1112",0.028,0.972
"1113",0.026,0.974
"1114",0.616,0.384
"1115",0.062,0.938
"1116",0.468,0.532
"1117",0.026,0.974
"1118",0.306,0.694
"1119",0.012,0.988
"1120",0,1
"1121",0.724,0.276
"1122",0.08,0.92
"1123",0.468,0.532
"1124",0.278,0.722
"1125",0,1
"1126",0.024,0.976
"1127",0.058,0.942
"1128",0.002,0.998
"1129",0.014,0.986
"1130",0.022,0.978
"1131",0.038,0.962
"1132",0.148,0.852
"1133",0.43,0.57
"1134",0.02,0.98
"1135",0.4,0.6
"1136",0.016,0.984
"1137",0.196,0.804
"1138",0.014,0.986
"1139",0.05,0.95
"1140",0.342,0.658
"1141",0.678,0.322
"1142",0.086,0.914
"1143",0.088,0.912
"1144",0,1
"1145",0.352,0.648
"1146",0.546,0.454
"1147",0,1
"1148",0.026,0.974
"1149",0.038,0.962
"1150",0.1,0.9
"1151",0.022,0.978
"1152",0.708,0.292
"1153",0.002,0.998
"1154",0,1
"1155",0.026,0.974
"1156",0,1
"1157",0.04,0.96
"1158",0.116,0.884
"1159",0.148,0.852
"1160",0.086,0.914
"1161",0.042,0.958
"1162",0.052,0.948
"1163",0.114,0.886
"1164",0.034,0.966
"1165",0.014,0.986
"1166",0.302,0.698
"1167",0.01,0.99
"1168",0.15,0.85
"1169",0.704,0.296
"1170",0.152,0.848
"1171",0.002,0.998
"1172",0.368,0.632
"1173",0.032,0.968
"1174",0.03,0.97
"1175",0.138,0.862
"1176",0.192,0.808
"1177",0.5,0.5
"1178",0,1
"1179",0.33,0.67
"1180",0.83,0.17
"1181",0,1
"1182",0.014,0.986
"1183",0.018,0.982
"1184",0.092,0.908
"1185",0.062,0.938
"1186",0.496,0.504
"1187",0,1
"1188",0.134,0.866
"1189",0.026,0.974
"1190",0.282,0.718
"1191",0.012,0.988
"1192",0.064,0.936
"1193",0.006,0.994
"1194",0.17,0.83
"1195",0.454,0.546
"1196",0.58,0.42
"1197",0.628,0.372
"1198",0.426,0.574
"1199",0,1
"1200",0.064,0.936
"1201",0.078,0.922
"1202",0.12,0.88
"1203",0.042,0.958
"1204",0.158,0.842
"1205",0.032,0.968
"1206",0.028,0.972
"1207",0.232,0.768
"1208",0.68,0.32
"1209",0.848,0.152
"1210",0.062,0.938
"1211",0.252,0.748
"1212",0.108,0.892
"1213",0.098,0.902
"1214",0.5,0.5
"1215",0,1
"1216",0.08,0.92
"1217",0.012,0.988
"1218",0.004,0.996
"1219",0.042,0.958
"1220",0.014,0.986
"1221",0.056,0.944
"1222",0.048,0.952
"1223",0.006,0.994
"1224",0.424,0.576
"1225",0.38,0.62
"1226",0.006,0.994
"1227",0.154,0.846
"1228",0.036,0.964
"1229",0,1
"1230",0.1,0.9
"1231",0.636,0.364
"1232",0,1
"1233",0.018,0.982
"1234",0.084,0.916
"1235",0.078,0.922
"1236",0.356,0.644
"1237",0.094,0.906
"1238",0.012,0.988
"1239",0.1,0.9
"1240",0.042,0.958
"1241",0.06,0.94
"1242",0.138,0.862
"1243",0.136,0.864
"1244",0.04,0.96
"1245",0.404,0.596
"1246",0.292,0.708
"1247",0.024,0.976
"1248",0.15,0.85
"1249",0.116,0.884
"1250",0.104,0.896
"1251",0,1
"1252",0.022,0.978
"1253",0.406,0.594
"1254",0.362,0.638
"1255",0.026,0.974
"1256",0.302,0.698
"1257",0.014,0.986
"1258",0.458,0.542
"1259",0.01,0.99
"1260",0.076,0.924
"1261",0.008,0.992
"1262",0.52,0.48
"1263",0.092,0.908
"1264",0.008,0.992
"1265",0,1
"1266",0.122,0.878
"1267",0.068,0.932
"1268",0.006,0.994
"1269",0.062,0.938
"1270",0.502,0.498
"1271",0.028,0.972
"1272",0.108,0.892
